Subclass	Order	Species	BMR (mlO2/hour)	Body mass for BMR (gr)	Reference for BMR	FMR (kJ/day)	Body mass for FMR (gr)	Reference for FMR
Eutheria	Lypothyphla	Crocidura olivieri	58.4	38.9	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura poensis	31.1	17.3	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura russula	22.9	10.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura suaveolens	18.9	6.5	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura viaria	22.1	14.7	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Cryptotys parva	19.2	6.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Echinosorex gymnura	504.84	721.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Erinaceus concolor	347.1794	822.7	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Erinaceus europaeus	337.5	750	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Hemiechinus auritus	152	400	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Hylomys suillus	60.112	57.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Neomys anomalus	66.8	13.1	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Neomys fodiens	54.7	17.1	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Neurotrichus gibbsii	46.492	11.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Notisorex crawfordi	13.2	4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Paraechinus aethiopicus (Hemiechinus aethiopicus)	112.5	450	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Scalopus aquaticus	67.68	48	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Scapanus latimanus	76.2	61	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Scapanus orarius	64.1	61.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Scapanus townsendii	108.9	130.1	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Sorex alpinus	48.2	7.9	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Sorex araneus	44.7	7.5	Ochocinska&Taylor05	58.1	8.19	Ochocinska & Taylor05
Eutheria	Lypothyphla	Sorex cinereus	31.5	3.5	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Sorex coronatus	51.9	9.1	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Sorex minutus	30.8	4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Sorex ornatus	52.3	9.7	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Sorex vagrans	28.1	5.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Suncus etruscus	14.4	2.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Suncus murinus	59.5	30.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Talpa europaea	-9999	-9999	-9999	173	87.7	Speakman 1997
Eutheria	Macroscelidea	Elephantulus brachyrhynchus	43.71	45.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Macroscelidea	Elephantulus edwardii	54.5	50	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Macroscelidea	Elephantulus intufi	52	46.49	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Macroscelidea	Elephantulus myurus	66.31	62.97	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Macroscelidea	Elephantulus rozeti	47.8	45.31	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Macroscelidea	Elephantulus rufescens	56.87	53	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Macroscelidea	Macroscelides proboscideus	52.26	39	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Macroscelidea	Petrodromus tetradactylus	179.52	206.11	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Pholidota	Manis crassicaudata	1240.98	15910	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Pholidota	Manis javanica	1105.64	4220	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Pholidota	Manis pentadactyla	667.845	3637.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Pholidota	Manis tetradactyla	229.09	1430	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Pholidota	Manis tricuspis	276	1365	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Aloutta palliata	2055	4670	White&Seymour03PNAS	2580	7330	Nagy et al99
Eutheria	Primates	Aotus trivirgatus	442	820	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Callithrix jacchus	152	190	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Primates	Cebuella pygmea (Callithrix pygmaea)	117	116.8	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Primates	Erythrocebus patas	1068	3000	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Eulemur fulvus	746	2330	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Galago moholi	51.2	170	Ross92	-9999	-9999	-9999
Eutheria	Primates	Galago senegalensis	137.2	171.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Leontopithecus rosalia	381.5	733.7	Thompson et al94	-9999	-9999	-9999
Eutheria	Primates	Macaca fuscata	4173.6	9550	Nakayama et al71	-9999	-9999	-9999
Eutheria	Primates	Microcebus murinus	-9999	-9999	-9999	115.4	64.5	Schmid & Speakman 2000
Eutheria	Primates	Nycticebus coucang	272.6	1160	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Otolemur crassicaudatus	412	950	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Primates	Otolemur garnetti	704	1314	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Primates	Papio anubis	2777.89	9500	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Perodicticus potto	337	898	Genoud2002	-9999	-9999	-9999
Eutheria	Primates	Saguinus geoffroyi	234	225	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Primates	Saimiri sciureus	800.628	875	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Tarsius spectrum	149	173	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Primates	Tarsius syrichta	76.7	113	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Abrothrix lanosus (Akodon lanosus)	45.6	24	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Abrothrix longipilis (Akodon longipillis)	57.528	42.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Rodentia	Acomys cahirinus	46.2	42	White et al06BiolLett	51.8	38.3	Nagy et al99
Eutheria	Rodentia	Acomys russatus	42.9	55.55	White et al06BiolLett	47.8	45	Nagy et al99
Eutheria	Rodentia	Acomys spinosissimus	44.1	27.02	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Acomys subspinosus	83.4	32.25	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Rodentia	Aconaemys fuscus	120.96	112	White et al06BiolLett	-9999	-9999	-9999
